CT-Ter-2,,CT-Ter-10,,CT-1,,CT-2,,CT-3,,CT-4,,CT-5,,CT-6,,CT-7,,CT-8.2,,CT-9,,CT-10,,CT-11,
Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error
0.96,0.22,0.31,0.19,3.72,0.4,3.95,0.38,138.5,3.9,0.25,0.15,1.9,0.3,0.06,0.03,4.1,0.4,1.72,0.18,1.79,0.13,3.77,0.3,1.9,0.22
1.11,0.32,0.35,0.21,3.74,0.33,3.98,0.42,150.6,6.4,0.28,0.17,1.9,0.1,0.16,0.1,5.8,0.7,1.8,0.1,1.88,0.2,3.8,0.2,3.78,0.25
1.12,0.28,0.42,0.25,3.81,0.22,4.25,0.35,157.4,5.1,0.29,0.17,2.0,0.3,0.18,0.11,5.9,0.7,1.81,0.2,1.9,0.18,3.83,0.19,3.82,0.25
1.18,0.31,0.46,0.28,3.86,0.29,4.43,0.43,159.0,5.5,0.29,0.18,5.6,0.6,0.27,0.08,6.0,0.6,1.86,0.19,1.9,0.15,3.88,0.45,3.84,0.25
1.24,0.75,0.63,0.38,3.94,0.35,4.71,0.42,160.6,3.8,0.35,0.21,5.7,0.6,0.29,0.18,6.1,0.5,3.83,0.35,1.95,0.21,3.94,0.43,3.87,0.4
1.26,0.76,0.63,0.38,3.95,0.47,4.84,0.43,160.8,4.5,0.37,0.22,5.8,0.7,0.3,0.18,6.1,0.5,3.84,0.3,3.76,0.4,4.12,0.33,3.91,0.45
1.3,0.18,0.63,0.38,3.97,0.31,4.85,0.47,161.1,7.6,0.38,0.23,6.0,0.5,0.32,0.19,6.1,0.5,3.86,0.17,3.82,0.15,4.21,0.36,3.94,0.14
1.31,0.34,0.75,0.45,3.98,0.18,4.86,0.42,161.3,4.4,0.38,0.23,6.0,0.5,0.34,0.21,6.1,0.3,3.88,0.2,3.87,0.28,4.21,0.34,3.96,0.47
1.31,0.37,0.77,0.46,3.99,0.35,4.92,0.53,161.5,7.4,0.39,0.23,6.0,0.5,0.35,0.21,6.1,0.6,3.88,0.25,3.94,0.38,4.33,0.34,4.0,0.37
1.32,0.37,0.82,0.49,4.0,0.38,4.97,0.41,161.9,3.8,0.41,0.25,6.0,0.6,0.35,0.21,6.1,0.2,4.02,0.32,4.07,0.34,4.35,0.23,4.13,0.28
1.34,0.08,0.85,0.51,4.03,0.47,4.98,0.4,162.1,5.4,0.49,0.29,6.1,1.0,0.35,0.21,6.2,0.7,4.04,0.33,4.07,0.26,4.4,0.45,4.23,0.28
1.55,0.42,0.9,0.54,4.04,0.27,4.99,0.31,162.3,7.7,0.5,0.3,6.1,0.5,0.37,0.22,6.2,0.4,4.12,0.39,4.12,0.24,4.4,0.24,4.3,0.39
1.96,0.64,0.94,0.56,4.06,0.44,4.99,0.33,163.0,5.0,0.6,0.36,6.1,0.8,0.38,0.23,6.2,0.7,4.15,0.23,4.29,0.4,4.43,0.41,4.3,0.41
2.02,1.21,1.18,0.71,4.17,0.41,5.0,0.32,163.5,6.8,0.63,0.38,6.1,0.3,0.4,0.24,6.2,0.7,4.16,0.46,4.31,0.3,4.56,0.24,4.31,0.21
2.18,1.31,1.19,0.71,4.18,0.5,5.01,0.32,163.6,7.1,0.72,0.43,6.1,0.4,0.41,0.25,6.3,0.4,4.17,0.2,4.31,0.48,4.65,0.45,4.34,0.39
2.42,0.28,1.22,0.47,4.21,0.39,5.01,0.47,163.8,5.7,0.81,0.48,6.1,1.0,0.47,0.28,6.3,0.2,4.17,0.38,4.4,0.25,4.8,0.48,4.43,0.5
2.7,0.45,1.38,0.14,4.23,0.36,5.02,0.51,164.3,8.2,0.83,0.5,6.2,0.7,0.47,0.28,6.3,0.3,4.38,0.44,4.64,0.45,4.88,0.17,4.56,0.15
3.0,0.84,1.69,1.02,4.29,0.43,5.05,0.5,164.4,4.1,0.91,0.55,6.2,0.6,0.64,0.38,6.3,0.6,4.39,0.16,4.8,0.31,4.98,0.44,4.57,0.32
4.06,0.35,2.45,0.55,4.3,0.46,5.05,0.5,164.4,8.6,1.14,0.68,6.2,0.7,0.67,0.17,6.3,0.7,4.49,0.3,4.97,0.46,5.02,0.2,4.83,0.22
4.83,0.44,2.58,0.45,4.41,0.39,5.06,0.57,164.5,6.1,1.22,0.29,6.2,0.7,0.72,0.43,6.3,0.5,4.54,0.35,5.05,0.36,5.03,0.46,4.84,0.28
4.97,0.41,2.65,0.67,4.56,0.36,5.08,0.46,164.6,7.5,1.38,0.83,6.3,0.5,0.72,0.43,6.4,0.4,4.58,0.51,5.09,0.4,5.05,0.2,4.88,0.21
5.02,0.44,2.65,1.59,4.57,0.42,5.09,0.43,164.6,7.7,1.61,0.97,6.3,0.6,0.72,0.43,6.4,0.7,4.62,0.42,5.16,0.31,5.08,0.25,4.94,0.41
5.07,0.89,3.36,0.45,4.66,0.27,5.12,0.32,164.6,5.1,1.84,0.24,6.3,0.5,0.77,0.46,6.4,0.3,4.83,0.5,5.78,0.34,5.12,0.23,5.02,0.24
5.07,0.45,4.1,0.48,4.66,0.55,5.15,0.24,164.7,8.5,1.85,0.35,6.3,0.3,0.8,0.48,6.4,0.5,4.92,0.55,5.9,0.34,5.21,0.53,5.07,0.32
5.16,0.85,4.37,0.36,4.73,0.47,5.15,0.48,164.7,5.7,2.91,1.74,6.3,0.3,0.81,0.49,6.4,0.5,4.96,0.57,6.33,0.47,6.08,0.23,5.07,0.45
5.26,0.33,4.62,0.76,4.81,0.52,5.16,0.33,164.9,7.6,3.72,0.25,6.4,0.8,0.83,0.5,6.4,0.4,5.07,0.54,6.34,0.24,6.37,0.44,5.09,0.24
5.35,0.76,4.97,0.31,5.04,0.46,5.16,0.38,165.4,6.5,3.8,0.35,6.4,0.6,0.9,0.54,6.4,0.6,5.12,0.29,6.38,0.36,6.38,0.65,5.11,0.24
5.47,0.75,5.0,0.62,5.07,0.5,5.17,0.32,166.2,7.4,3.89,0.33,6.4,0.9,0.9,0.28,6.4,0.5,5.14,0.19,6.41,0.51,6.39,0.28,5.19,0.49
5.49,0.62,5.12,0.59,5.11,0.56,5.19,0.35,166.3,8.2,3.91,0.47,6.5,0.9,0.97,0.58,6.4,0.5,5.14,0.24,6.42,0.55,6.45,0.34,5.2,0.26
5.5,0.9,5.18,0.73,5.14,0.46,5.2,0.47,166.4,4.2,3.92,0.19,6.5,0.9,1.07,0.64,6.4,0.7,5.19,0.26,6.46,0.36,6.47,0.27,5.21,0.38
5.51,0.56,5.34,0.74,5.19,0.54,5.22,0.37,166.4,12.8,4.07,0.69,6.5,0.5,1.15,0.69,6.4,0.5,5.39,0.4,6.48,0.39,6.48,0.26,5.22,0.52
5.55,0.23,5.37,0.74,5.2,0.46,5.26,0.34,166.9,8.1,4.07,0.5,6.5,0.5,1.69,1.02,6.4,0.4,5.46,0.33,6.5,0.46,6.5,0.47,5.24,0.22
5.55,0.9,5.41,0.23,5.22,0.4,5.33,0.57,167.2,6.7,4.14,0.41,6.5,0.3,1.8,1.08,6.4,0.7,5.53,0.19,6.51,0.39,6.57,0.34,6.21,0.43
5.55,0.44,5.46,0.39,5.26,0.36,5.35,0.48,167.2,5.9,4.18,0.84,6.5,0.4,1.96,0.23,6.4,0.4,6.17,0.48,6.58,0.37,6.65,0.34,6.25,0.62
5.56,0.59,5.46,1.08,5.3,0.33,5.47,0.6,167.3,6.0,4.29,0.5,6.5,0.6,2.48,1.49,6.4,0.7,6.4,0.5,6.65,0.22,6.66,0.37,6.38,0.44
5.56,0.32,5.48,0.63,5.31,0.32,5.5,0.52,167.6,6.6,4.3,0.33,6.5,0.6,2.78,0.56,6.5,0.5,6.42,0.46,6.66,0.55,6.68,0.5,6.42,0.25
5.59,1.44,5.57,0.53,5.38,0.57,5.56,0.56,167.9,6.5,4.35,0.38,6.6,0.7,3.39,2.03,6.5,0.7,6.46,0.3,6.68,0.48,6.78,0.45,6.44,0.24
5.61,0.6,5.58,0.54,5.42,0.54,5.59,0.49,168.2,4.8,4.46,0.66,6.6,0.5,3.39,0.72,6.5,0.6,6.5,0.61,6.72,0.21,6.79,0.44,6.46,0.57
5.64,0.54,5.68,0.54,5.66,0.57,5.66,0.45,168.5,13.3,4.47,0.63,6.6,0.7,3.77,0.32,6.5,0.3,6.66,0.39,6.76,0.47,6.8,0.34,6.47,0.46
5.65,0.31,5.7,0.38,5.7,0.61,5.79,0.6,169.0,5.4,4.5,0.43,6.6,0.4,3.78,0.45,6.5,0.2,6.79,0.28,6.77,0.42,6.84,0.51,6.66,0.58
5.68,0.41,5.73,0.39,6.18,0.58,5.86,0.58,169.7,6.2,4.58,0.46,6.6,0.9,3.82,0.23,6.5,0.5,6.83,0.47,6.82,0.5,6.88,0.52,6.83,0.28
5.71,0.55,5.73,0.41,6.52,0.73,5.86,0.33,170.9,9.7,4.59,0.48,6.6,0.7,3.89,0.3,6.5,0.5,6.84,0.25,6.83,0.4,6.88,0.6,6.83,0.63
5.71,0.7,5.86,0.35,6.57,0.47,5.87,0.7,171.8,6.5,4.63,0.39,6.6,0.3,3.99,0.37,6.6,0.5,6.87,0.25,6.83,0.44,6.9,0.33,6.85,0.48
5.71,0.41,5.9,1.55,7.04,0.31,6.11,0.57,173.3,7.3,4.65,0.76,6.7,0.9,4.0,0.57,6.6,0.5,6.87,0.32,6.88,0.37,6.92,0.27,6.85,0.29
5.71,1.17,5.91,0.46,7.16,0.42,6.31,0.46,174.4,10.2,4.7,0.37,6.7,0.4,4.05,0.52,6.6,0.5,6.88,0.24,6.96,0.73,7.06,0.24,6.87,0.44
5.76,0.96,5.95,0.33,7.21,0.55,6.36,0.38,174.6,4.7,4.72,0.6,6.7,0.6,4.06,0.67,6.6,0.3,6.92,0.4,7.0,0.68,7.06,0.43,6.89,0.46
5.77,0.41,6.16,0.8,7.24,0.4,6.37,0.59,174.6,8.3,4.75,0.47,6.7,0.8,4.08,0.67,6.6,0.6,6.96,0.48,7.04,0.78,7.1,0.35,6.92,0.49
5.8,0.28,6.2,0.64,7.37,0.84,6.59,0.7,175.1,8.5,4.76,0.43,6.7,0.9,4.12,0.58,6.6,0.6,6.98,0.66,7.07,0.41,7.12,0.42,6.97,0.63
5.84,0.91,6.22,0.55,7.4,0.49,6.63,0.73,175.3,8.0,4.85,0.33,6.8,0.7,4.12,0.31,6.7,0.7,6.98,0.29,7.14,0.29,7.18,0.48,6.98,0.48
5.92,1.32,6.3,0.54,7.43,0.6,6.63,0.78,175.4,11.8,4.89,0.4,6.8,0.6,4.16,0.72,6.7,0.3,7.08,0.57,7.15,0.53,7.18,0.28,7.02,0.72
5.93,0.76,6.31,1.21,7.44,0.56,6.67,0.6,179.5,9.5,4.95,0.54,6.8,0.8,4.17,0.46,6.7,0.5,7.09,0.67,7.16,0.66,7.19,0.35,7.08,0.33
5.93,0.65,6.33,0.26,7.52,0.36,6.73,0.38,181.9,8.5,4.97,0.7,6.8,0.7,4.22,0.43,6.7,0.7,7.12,0.55,7.2,0.48,7.22,0.41,7.09,0.39
5.95,0.82,6.34,0.56,7.54,0.54,6.75,0.53,183.9,5.7,4.98,0.39,6.8,0.5,4.27,0.33,6.7,0.5,7.19,0.8,7.25,0.66,7.22,0.32,7.14,0.58
5.97,0.57,6.45,0.67,7.57,0.78,6.81,0.66,232.8,9.1,4.99,0.37,6.8,0.2,4.31,0.57,6.7,0.8,7.19,0.19,7.26,0.55,7.28,0.23,7.19,0.29
5.98,0.46,6.64,0.55,7.59,0.84,6.82,0.35,236.3,16.1,5.0,0.34,6.8,1.0,4.34,0.53,6.7,0.5,7.21,0.5,7.26,0.48,7.29,0.23,7.21,0.35
5.98,0.36,6.66,0.39,7.6,0.51,6.85,0.32,242.8,12.1,5.03,0.47,6.8,0.5,4.35,0.76,6.7,0.7,7.22,0.33,7.27,0.34,7.3,0.41,7.22,0.39
6.04,0.37,6.75,4.05,7.64,0.3,6.87,0.45,254.0,12.7,5.04,0.33,6.8,0.4,4.44,0.85,6.7,0.7,7.22,0.4,7.37,0.54,7.31,0.47,7.23,0.45
6.06,0.56,6.89,0.43,7.67,0.54,6.9,0.55,289.9,9.7,5.06,0.27,6.8,0.4,4.48,0.31,6.7,0.4,7.23,0.58,7.37,0.38,7.34,0.31,7.23,0.39
6.07,0.59,6.9,0.61,7.76,0.88,7.0,0.73,291.4,14.0,5.09,0.69,6.8,0.3,4.48,0.4,6.8,0.8,7.28,0.39,7.42,0.51,7.37,0.24,7.26,0.46
6.08,0.38,6.92,0.79,7.79,0.28,7.03,0.47,292.6,9.1,5.1,0.6,6.9,0.7,4.49,0.34,6.8,0.6,7.3,0.2,7.48,0.66,7.39,0.37,7.28,0.66
6.09,0.38,6.99,0.59,7.84,0.49,7.12,0.7,293.2,14.4,5.13,0.64,6.9,0.5,4.62,0.49,6.8,0.5,7.32,0.44,7.48,0.48,7.41,0.54,7.31,0.59
6.1,1.0,7.01,0.9,7.89,0.42,7.18,0.37,294.7,11.1,5.15,0.32,6.9,0.8,4.62,0.62,6.8,0.8,7.34,0.33,7.53,0.46,7.44,0.26,7.34,0.86
6.17,0.91,7.04,0.39,7.94,0.59,7.19,0.86,296.6,13.2,5.15,0.32,6.9,0.4,4.65,0.45,6.8,0.4,7.41,0.34,7.53,0.5,7.46,0.52,7.4,0.41
6.18,0.83,7.05,0.51,7.96,0.67,7.3,0.73,297.1,9.4,5.16,0.3,6.9,0.4,4.67,0.29,6.9,0.5,7.43,0.74,7.58,0.54,7.5,0.54,7.41,0.61
6.2,0.57,7.31,0.43,7.97,0.58,7.31,0.69,297.1,11.4,5.17,0.59,6.9,0.4,4.7,0.32,6.9,0.5,7.44,0.28,7.64,0.57,7.55,0.35,7.42,0.35
6.25,0.72,7.34,0.7,7.97,0.38,7.32,0.3,297.5,7.7,5.2,0.48,6.9,0.7,4.74,0.45,6.9,0.8,7.44,0.68,7.65,0.47,7.56,0.59,7.54,0.66
6.34,0.79,7.4,0.46,7.98,0.68,7.33,0.71,297.8,7.9,5.2,0.4,6.9,0.6,4.87,0.5,6.9,0.5,7.46,0.43,7.68,0.35,7.62,0.55,7.55,0.4
6.39,0.46,7.43,0.91,8.0,0.7,7.33,0.51,297.9,18.9,5.2,0.36,6.9,0.3,4.92,0.52,6.9,0.4,7.47,0.47,7.73,0.61,7.63,0.43,7.55,0.41
6.39,0.53,7.43,0.81,8.01,0.4,7.35,0.47,297.9,11.1,5.2,0.56,6.9,0.4,4.94,0.45,6.9,0.6,7.51,0.51,7.75,0.45,7.66,0.84,7.56,0.36
6.42,0.62,7.48,0.67,8.02,0.62,7.39,0.69,298.1,7.2,5.2,0.51,6.9,0.4,4.95,0.31,6.9,0.7,7.51,0.32,7.76,0.43,7.7,0.34,7.59,0.24
6.56,0.55,7.49,0.39,8.04,0.52,7.4,0.5,299.2,8.8,5.23,0.32,7.0,0.6,5.0,0.5,6.9,0.6,7.54,0.29,7.76,0.2,7.71,0.29,7.62,0.22
6.7,0.38,7.52,0.74,8.04,0.62,7.42,0.62,299.4,11.1,5.25,0.31,7.0,0.6,5.01,0.4,7.0,0.4,7.6,0.45,7.79,0.54,7.72,0.37,7.63,0.51
6.86,0.57,7.52,0.82,8.06,0.57,7.42,0.35,299.4,11.3,5.27,0.52,7.0,0.6,5.01,0.35,7.0,0.6,7.61,0.32,7.79,0.41,7.73,0.26,7.64,0.42
6.89,0.64,7.63,0.56,8.14,0.91,7.44,0.51,299.5,19.2,5.3,0.56,7.0,1.0,5.01,0.18,7.0,0.6,7.64,0.35,7.79,0.39,7.79,0.29,7.66,0.51
6.97,0.36,7.66,0.51,8.14,0.41,7.44,0.61,299.6,10.6,5.56,0.29,7.0,0.6,5.02,0.56,7.0,0.6,7.65,0.46,7.82,0.46,7.85,0.23,7.68,0.19
7.02,0.57,7.71,1.16,8.15,0.63,7.45,0.69,299.8,11.7,5.57,0.34,7.0,0.7,5.07,0.31,7.0,0.5,7.68,0.35,7.83,0.38,7.88,0.39,7.71,0.4
7.24,0.52,7.93,0.88,8.17,0.8,7.46,0.45,300.0,10.9,5.6,0.87,7.0,0.4,5.08,0.66,7.0,0.7,7.7,0.32,7.83,0.49,7.95,0.31,7.71,0.69
7.31,1.15,8.18,1.55,8.18,0.64,7.46,0.67,300.1,12.5,5.63,1.14,7.0,0.6,5.09,0.5,7.0,0.8,7.73,0.37,7.84,0.43,7.95,0.43,7.79,0.37
7.35,0.42,8.57,0.92,8.2,0.76,7.47,0.52,300.2,13.0,5.81,0.33,7.0,0.9,5.1,0.44,7.0,0.6,7.74,0.43,7.87,0.37,8.06,0.31,7.81,0.76
7.36,0.35,8.89,0.77,8.24,0.83,7.5,0.43,300.4,13.2,6.03,0.61,7.0,0.4,5.1,0.47,7.0,0.5,7.75,0.47,8.01,0.55,8.07,0.57,7.82,0.62
7.36,0.92,8.91,1.39,8.27,0.5,7.56,0.53,300.4,9.3,6.04,0.75,7.0,0.4,5.12,0.37,7.0,0.8,7.79,0.32,8.07,0.6,8.14,0.68,7.85,0.39
7.48,0.96,9.0,1.18,8.33,0.55,7.58,0.28,300.4,11.7,6.05,0.55,7.0,0.6,5.13,0.38,7.0,0.5,7.8,0.53,8.1,0.46,8.21,0.44,7.86,0.45
7.5,0.63,9.1,1.1,8.33,0.73,7.61,0.71,300.5,11.0,6.06,0.59,7.0,0.4,5.15,0.54,7.0,0.7,7.84,0.46,8.17,0.33,8.22,0.4,7.88,0.54
7.53,0.67,9.14,0.84,8.36,0.73,7.61,0.63,300.6,15.7,6.13,0.84,7.0,0.8,5.16,0.57,7.0,0.7,7.89,0.25,8.22,0.5,8.23,0.43,7.88,0.29
7.56,0.48,9.14,1.89,8.44,0.73,7.62,0.5,300.7,13.9,6.14,0.54,7.0,0.5,5.16,0.6,7.0,0.7,7.89,0.4,8.23,0.46,8.29,0.36,7.89,0.54
7.58,0.6,9.17,0.88,8.51,0.6,7.65,0.46,300.9,12.9,6.26,0.59,7.1,0.6,5.19,0.47,7.1,0.8,7.92,0.48,8.26,0.51,8.3,0.36,7.89,0.4
