CT-1,,CT-2,,CT-3,,CT-4,,CT-5,,CT-6,,CT-7,,CT-8.2,,CT-9,,CT-10,,CT-11,
Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error
3.72,0.2,3.95,0.19,138.5,1.95,0.25,0.075,1.9,0.15,0.06,0.015,4.1,0.2,1.72,0.09,1.79,0.065,3.77,0.15,1.9,0.11
3.74,0.165,3.98,0.21,150.6,3.2,0.28,0.085,1.9,0.05,0.16,0.05,5.8,0.35,1.8,0.05,1.88,0.1,3.8,0.1,3.78,0.125
3.81,0.11,4.25,0.175,157.4,2.55,0.29,0.085,2.0,0.15,0.18,0.055,5.9,0.35,1.81,0.1,1.9,0.09,3.83,0.095,3.82,0.125
3.86,0.145,4.43,0.215,159.0,2.75,0.29,0.09,5.6,0.3,0.27,0.04,6.0,0.3,1.86,0.095,1.9,0.075,3.88,0.225,3.84,0.125
3.94,0.175,4.71,0.21,160.6,1.9,0.35,0.105,5.7,0.3,0.29,0.09,6.1,0.25,3.83,0.175,1.95,0.105,3.94,0.215,3.87,0.2
3.95,0.235,4.84,0.215,160.8,2.25,0.37,0.11,5.8,0.35,0.3,0.09,6.1,0.25,3.84,0.15,3.76,0.2,4.12,0.165,3.91,0.225
3.97,0.155,4.85,0.235,161.1,3.8,0.38,0.115,6.0,0.25,0.32,0.095,6.1,0.25,3.86,0.085,3.82,0.075,4.21,0.18,3.94,0.07
3.98,0.09,4.86,0.21,161.3,2.2,0.38,0.115,6.0,0.25,0.34,0.105,6.1,0.15,3.88,0.1,3.87,0.14,4.21,0.17,3.96,0.235
3.99,0.175,4.92,0.265,161.5,3.7,0.39,0.115,6.0,0.25,0.35,0.105,6.1,0.3,3.88,0.125,3.94,0.19,4.33,0.17,4.0,0.185
4.0,0.19,4.97,0.205,161.9,1.9,0.41,0.125,6.0,0.3,0.35,0.105,6.1,0.1,4.02,0.16,4.07,0.17,4.35,0.115,4.13,0.14
4.03,0.235,4.98,0.2,162.1,2.7,0.49,0.145,6.1,0.5,0.35,0.105,6.2,0.35,4.04,0.165,4.07,0.13,4.4,0.225,4.23,0.14
4.04,0.135,4.99,0.155,162.3,3.85,0.5,0.15,6.1,0.25,0.37,0.11,6.2,0.2,4.12,0.195,4.12,0.12,4.4,0.12,4.3,0.195
4.06,0.22,4.99,0.165,163.0,2.5,0.6,0.18,6.1,0.4,0.38,0.115,6.2,0.35,4.15,0.115,4.29,0.2,4.43,0.205,4.3,0.205
4.17,0.205,5.0,0.16,163.5,3.4,0.63,0.19,6.1,0.15,0.4,0.12,6.2,0.35,4.16,0.23,4.31,0.15,4.56,0.12,4.31,0.105
4.18,0.25,5.01,0.16,163.6,3.55,0.72,0.215,6.1,0.2,0.41,0.125,6.3,0.2,4.17,0.1,4.31,0.24,4.65,0.225,4.34,0.195
4.21,0.195,5.01,0.235,163.8,2.85,0.81,0.24,6.1,0.5,0.47,0.14,6.3,0.1,4.17,0.19,4.4,0.125,4.8,0.24,4.43,0.25
4.23,0.18,5.02,0.255,164.3,4.1,0.83,0.25,6.2,0.35,0.47,0.14,6.3,0.15,4.38,0.22,4.64,0.225,4.88,0.085,4.56,0.075
4.29,0.215,5.05,0.25,164.4,2.05,0.91,0.275,6.2,0.3,0.64,0.19,6.3,0.3,4.39,0.08,4.8,0.155,4.98,0.22,4.57,0.16
4.3,0.23,5.05,0.25,164.4,4.3,1.14,0.34,6.2,0.35,0.67,0.085,6.3,0.35,4.49,0.15,4.97,0.23,5.02,0.1,4.83,0.11
4.41,0.195,5.06,0.285,164.5,3.05,1.22,0.145,6.2,0.35,0.72,0.215,6.3,0.25,4.54,0.175,5.05,0.18,5.03,0.23,4.84,0.14
4.56,0.18,5.08,0.23,164.6,3.75,1.38,0.415,6.3,0.25,0.72,0.215,6.4,0.2,4.58,0.255,5.09,0.2,5.05,0.1,4.88,0.105
4.57,0.21,5.09,0.215,164.6,3.85,1.61,0.485,6.3,0.3,0.72,0.215,6.4,0.35,4.62,0.21,5.16,0.155,5.08,0.125,4.94,0.205
4.66,0.135,5.12,0.16,164.6,2.55,1.84,0.12,6.3,0.25,0.77,0.23,6.4,0.15,4.83,0.25,5.78,0.17,5.12,0.115,5.02,0.12
4.66,0.275,5.15,0.12,164.7,4.25,1.85,0.175,6.3,0.15,0.8,0.24,6.4,0.25,4.92,0.275,5.9,0.17,5.21,0.265,5.07,0.16
4.73,0.235,5.15,0.24,164.7,2.85,2.91,0.87,6.3,0.15,0.81,0.245,6.4,0.25,4.96,0.285,6.33,0.235,6.08,0.115,5.07,0.225
4.81,0.26,5.16,0.165,164.9,3.8,3.72,0.125,6.4,0.4,0.83,0.25,6.4,0.2,5.07,0.27,6.34,0.12,6.37,0.22,5.09,0.12
5.04,0.23,5.16,0.19,165.4,3.25,3.8,0.175,6.4,0.3,0.9,0.27,6.4,0.3,5.12,0.145,6.38,0.18,6.38,0.325,5.11,0.12
5.07,0.25,5.17,0.16,166.2,3.7,3.89,0.165,6.4,0.45,0.9,0.14,6.4,0.25,5.14,0.095,6.41,0.255,6.39,0.14,5.19,0.245
5.11,0.28,5.19,0.175,166.3,4.1,3.91,0.235,6.5,0.45,0.97,0.29,6.4,0.25,5.14,0.12,6.42,0.275,6.45,0.17,5.2,0.13
5.14,0.23,5.2,0.235,166.4,2.1,3.92,0.095,6.5,0.45,1.07,0.32,6.4,0.35,5.19,0.13,6.46,0.18,6.47,0.135,5.21,0.19
5.19,0.27,5.22,0.185,166.4,6.4,4.07,0.345,6.5,0.25,1.15,0.345,6.4,0.25,5.39,0.2,6.48,0.195,6.48,0.13,5.22,0.26
5.2,0.23,5.26,0.17,166.9,4.05,4.07,0.25,6.5,0.25,1.69,0.51,6.4,0.2,5.46,0.165,6.5,0.23,6.5,0.235,5.24,0.11
5.22,0.2,5.33,0.285,167.2,3.35,4.14,0.205,6.5,0.15,1.8,0.54,6.4,0.35,5.53,0.095,6.51,0.195,6.57,0.17,6.21,0.215
5.26,0.18,5.35,0.24,167.2,2.95,4.18,0.42,6.5,0.2,1.96,0.115,6.4,0.2,6.17,0.24,6.58,0.185,6.65,0.17,6.25,0.31
5.3,0.165,5.47,0.3,167.3,3.0,4.29,0.25,6.5,0.3,2.48,0.745,6.4,0.35,6.4,0.25,6.65,0.11,6.66,0.185,6.38,0.22
5.31,0.16,5.5,0.26,167.6,3.3,4.3,0.165,6.5,0.3,2.78,0.28,6.5,0.25,6.42,0.23,6.66,0.275,6.68,0.25,6.42,0.125
5.38,0.285,5.56,0.28,167.9,3.25,4.35,0.19,6.6,0.35,3.39,1.015,6.5,0.35,6.46,0.15,6.68,0.24,6.78,0.225,6.44,0.12
5.42,0.27,5.59,0.245,168.2,2.4,4.46,0.33,6.6,0.25,3.39,0.36,6.5,0.3,6.5,0.305,6.72,0.105,6.79,0.22,6.46,0.285
5.66,0.285,5.66,0.225,168.5,6.65,4.47,0.315,6.6,0.35,3.77,0.16,6.5,0.15,6.66,0.195,6.76,0.235,6.8,0.17,6.47,0.23
5.7,0.305,5.79,0.3,169.0,2.7,4.5,0.215,6.6,0.2,3.78,0.225,6.5,0.1,6.79,0.14,6.77,0.21,6.84,0.255,6.66,0.29
6.18,0.29,5.86,0.29,169.7,3.1,4.58,0.23,6.6,0.45,3.82,0.115,6.5,0.25,6.83,0.235,6.82,0.25,6.88,0.26,6.83,0.14
6.52,0.365,5.86,0.165,170.9,4.85,4.59,0.24,6.6,0.35,3.89,0.15,6.5,0.25,6.84,0.125,6.83,0.2,6.88,0.3,6.83,0.315
6.57,0.235,5.87,0.35,171.8,3.25,4.63,0.195,6.6,0.15,3.99,0.185,6.6,0.25,6.87,0.125,6.83,0.22,6.9,0.165,6.85,0.24
7.04,0.155,6.11,0.285,173.3,3.65,4.65,0.38,6.7,0.45,4.0,0.285,6.6,0.25,6.87,0.16,6.88,0.185,6.92,0.135,6.85,0.145
7.16,0.21,6.31,0.23,174.4,5.1,4.7,0.185,6.7,0.2,4.05,0.26,6.6,0.25,6.88,0.12,6.96,0.365,7.06,0.12,6.87,0.22
7.21,0.275,6.36,0.19,174.6,2.35,4.72,0.3,6.7,0.3,4.06,0.335,6.6,0.15,6.92,0.2,7.0,0.34,7.06,0.215,6.89,0.23
7.24,0.2,6.37,0.295,174.6,4.15,4.75,0.235,6.7,0.4,4.08,0.335,6.6,0.3,6.96,0.24,7.04,0.39,7.1,0.175,6.92,0.245
7.37,0.42,6.59,0.35,175.1,4.25,4.76,0.215,6.7,0.45,4.12,0.29,6.6,0.3,6.98,0.33,7.07,0.205,7.12,0.21,6.97,0.315
7.4,0.245,6.63,0.365,175.3,4.0,4.85,0.165,6.8,0.35,4.12,0.155,6.7,0.35,6.98,0.145,7.14,0.145,7.18,0.24,6.98,0.24
7.43,0.3,6.63,0.39,175.4,5.9,4.89,0.2,6.8,0.3,4.16,0.36,6.7,0.15,7.08,0.285,7.15,0.265,7.18,0.14,7.02,0.36
7.44,0.28,6.67,0.3,179.5,4.75,4.95,0.27,6.8,0.4,4.17,0.23,6.7,0.25,7.09,0.335,7.16,0.33,7.19,0.175,7.08,0.165
7.52,0.18,6.73,0.19,181.9,4.25,4.97,0.35,6.8,0.35,4.22,0.215,6.7,0.35,7.12,0.275,7.2,0.24,7.22,0.205,7.09,0.195
7.54,0.27,6.75,0.265,183.9,2.85,4.98,0.195,6.8,0.25,4.27,0.165,6.7,0.25,7.19,0.4,7.25,0.33,7.22,0.16,7.14,0.29
7.57,0.39,6.81,0.33,232.8,4.55,4.99,0.185,6.8,0.1,4.31,0.285,6.7,0.4,7.19,0.095,7.26,0.275,7.28,0.115,7.19,0.145
7.59,0.42,6.82,0.175,236.3,8.05,5.0,0.17,6.8,0.5,4.34,0.265,6.7,0.25,7.21,0.25,7.26,0.24,7.29,0.115,7.21,0.175
7.6,0.255,6.85,0.16,242.8,6.05,5.03,0.235,6.8,0.25,4.35,0.38,6.7,0.35,7.22,0.165,7.27,0.17,7.3,0.205,7.22,0.195
7.64,0.15,6.87,0.225,254.0,6.35,5.04,0.165,6.8,0.2,4.44,0.425,6.7,0.35,7.22,0.2,7.37,0.27,7.31,0.235,7.23,0.225
7.67,0.27,6.9,0.275,289.9,4.85,5.06,0.135,6.8,0.2,4.48,0.155,6.7,0.2,7.23,0.29,7.37,0.19,7.34,0.155,7.23,0.195
7.76,0.44,7.0,0.365,291.4,7.0,5.09,0.345,6.8,0.15,4.48,0.2,6.8,0.4,7.28,0.195,7.42,0.255,7.37,0.12,7.26,0.23
7.79,0.14,7.03,0.235,292.6,4.55,5.1,0.3,6.9,0.35,4.49,0.17,6.8,0.3,7.3,0.1,7.48,0.33,7.39,0.185,7.28,0.33
7.84,0.245,7.12,0.35,293.2,7.2,5.13,0.32,6.9,0.25,4.62,0.245,6.8,0.25,7.32,0.22,7.48,0.24,7.41,0.27,7.31,0.295
7.89,0.21,7.18,0.185,294.7,5.55,5.15,0.16,6.9,0.4,4.62,0.31,6.8,0.4,7.34,0.165,7.53,0.23,7.44,0.13,7.34,0.43
7.94,0.295,7.19,0.43,296.6,6.6,5.15,0.16,6.9,0.2,4.65,0.225,6.8,0.2,7.41,0.17,7.53,0.25,7.46,0.26,7.4,0.205
7.96,0.335,7.3,0.365,297.1,4.7,5.16,0.15,6.9,0.2,4.67,0.145,6.9,0.25,7.43,0.37,7.58,0.27,7.5,0.27,7.41,0.305
7.97,0.29,7.31,0.345,297.1,5.7,5.17,0.295,6.9,0.2,4.7,0.16,6.9,0.25,7.44,0.14,7.64,0.285,7.55,0.175,7.42,0.175
7.97,0.19,7.32,0.15,297.5,3.85,5.2,0.24,6.9,0.35,4.74,0.225,6.9,0.4,7.44,0.34,7.65,0.235,7.56,0.295,7.54,0.33
7.98,0.34,7.33,0.355,297.8,3.95,5.2,0.2,6.9,0.3,4.87,0.25,6.9,0.25,7.46,0.215,7.68,0.175,7.62,0.275,7.55,0.2
8.0,0.35,7.33,0.255,297.9,9.45,5.2,0.18,6.9,0.15,4.92,0.26,6.9,0.2,7.47,0.235,7.73,0.305,7.63,0.215,7.55,0.205
8.01,0.2,7.35,0.235,297.9,5.55,5.2,0.28,6.9,0.2,4.94,0.225,6.9,0.3,7.51,0.255,7.75,0.225,7.66,0.42,7.56,0.18
8.02,0.31,7.39,0.345,298.1,3.6,5.2,0.255,6.9,0.2,4.95,0.155,6.9,0.35,7.51,0.16,7.76,0.215,7.7,0.17,7.59,0.12
8.04,0.26,7.4,0.25,299.2,4.4,5.23,0.16,7.0,0.3,5.0,0.25,6.9,0.3,7.54,0.145,7.76,0.1,7.71,0.145,7.62,0.11
8.04,0.31,7.42,0.31,299.4,5.55,5.25,0.155,7.0,0.3,5.01,0.2,7.0,0.2,7.6,0.225,7.79,0.27,7.72,0.185,7.63,0.255
8.06,0.285,7.42,0.175,299.4,5.65,5.27,0.26,7.0,0.3,5.01,0.175,7.0,0.3,7.61,0.16,7.79,0.205,7.73,0.13,7.64,0.21
8.14,0.455,7.44,0.255,299.5,9.6,5.3,0.28,7.0,0.5,5.01,0.09,7.0,0.3,7.64,0.175,7.79,0.195,7.79,0.145,7.66,0.255
8.14,0.205,7.44,0.305,299.6,5.3,5.56,0.145,7.0,0.3,5.02,0.28,7.0,0.3,7.65,0.23,7.82,0.23,7.85,0.115,7.68,0.095
8.15,0.315,7.45,0.345,299.8,5.85,5.57,0.17,7.0,0.35,5.07,0.155,7.0,0.25,7.68,0.175,7.83,0.19,7.88,0.195,7.71,0.2
8.17,0.4,7.46,0.225,300.0,5.45,5.6,0.435,7.0,0.2,5.08,0.33,7.0,0.35,7.7,0.16,7.83,0.245,7.95,0.155,7.71,0.345
8.18,0.32,7.46,0.335,300.1,6.25,5.63,0.57,7.0,0.3,5.09,0.25,7.0,0.4,7.73,0.185,7.84,0.215,7.95,0.215,7.79,0.185
8.2,0.38,7.47,0.26,300.2,6.5,5.81,0.165,7.0,0.45,5.1,0.22,7.0,0.3,7.74,0.215,7.87,0.185,8.06,0.155,7.81,0.38
8.24,0.415,7.5,0.215,300.4,6.6,6.03,0.305,7.0,0.2,5.1,0.235,7.0,0.25,7.75,0.235,8.01,0.275,8.07,0.285,7.82,0.31
8.27,0.25,7.56,0.265,300.4,4.65,6.04,0.375,7.0,0.2,5.12,0.185,7.0,0.4,7.79,0.16,8.07,0.3,8.14,0.34,7.85,0.195
8.33,0.275,7.58,0.14,300.4,5.85,6.05,0.275,7.0,0.3,5.13,0.19,7.0,0.25,7.8,0.265,8.1,0.23,8.21,0.22,7.86,0.225
8.33,0.365,7.61,0.355,300.5,5.5,6.06,0.295,7.0,0.2,5.15,0.27,7.0,0.35,7.84,0.23,8.17,0.165,8.22,0.2,7.88,0.27
8.36,0.365,7.61,0.315,300.6,7.85,6.13,0.42,7.0,0.4,5.16,0.285,7.0,0.35,7.89,0.125,8.22,0.25,8.23,0.215,7.88,0.145
8.44,0.365,7.62,0.25,300.7,6.95,6.14,0.27,7.0,0.25,5.16,0.3,7.0,0.35,7.89,0.2,8.23,0.23,8.29,0.18,7.89,0.27
8.51,0.3,7.65,0.23,300.9,6.45,6.26,0.295,7.1,0.3,5.19,0.235,7.1,0.4,7.92,0.24,8.26,0.255,8.3,0.18,7.89,0.2
8.55,0.345,7.66,0.23,301.0,5.9,6.29,0.215,7.1,0.2,5.19,0.13,7.1,0.2,7.92,0.35,8.39,0.145,8.32,0.135,7.9,0.175
8.56,0.205,7.7,0.25,301.2,3.45,6.43,0.23,7.1,0.25,5.2,0.23,7.1,0.25,7.94,0.155,8.46,0.26,8.37,0.24,7.92,0.165
8.62,0.34,7.72,0.385,301.3,5.15,6.49,0.32,7.1,0.55,5.21,0.27,7.1,0.15,7.96,0.145,8.47,0.18,8.39,0.215,7.92,0.26
8.62,0.485,7.73,0.3,301.6,4.4,6.51,0.3,7.1,0.3,5.22,0.165,7.1,0.3,7.98,0.325,8.48,0.21,8.48,0.425,7.95,0.21
8.67,0.39,7.76,0.24,301.6,6.25,6.52,0.305,7.2,0.45,5.27,0.435,7.1,0.3,8.0,0.285,8.51,0.22,8.52,0.205,8.01,0.23
8.68,0.215,7.79,0.245,301.7,4.95,6.56,0.3,7.2,0.25,5.28,0.215,7.1,0.2,8.03,0.19,8.56,0.345,8.53,0.22,8.02,0.225
8.79,0.39,7.79,0.405,302.0,5.5,6.61,0.39,7.2,0.3,5.31,0.185,7.1,0.3,8.05,0.245,8.57,0.31,8.56,0.44,8.03,0.43
8.79,0.485,7.86,0.25,302.0,7.05,6.64,0.325,7.2,0.15,5.33,0.215,7.1,0.2,8.16,0.325,8.59,0.345,8.59,0.365,8.07,0.22
8.87,0.44,7.87,0.275,302.2,5.0,6.65,0.37,7.2,0.2,5.37,0.355,7.2,0.3,8.21,0.14,8.66,0.245,8.64,0.255,8.09,0.215
8.88,0.455,7.9,0.265,302.3,5.4,6.66,0.255,7.2,0.25,5.39,0.205,7.2,0.3,8.24,0.12,8.69,0.305,8.72,0.2,8.14,0.34
8.89,0.46,7.92,0.355,302.4,6.35,6.73,0.185,7.2,0.15,5.41,0.295,7.2,0.4,8.3,0.235,8.95,0.35,8.91,0.19,8.16,0.225
8.93,0.325,7.92,0.295,302.5,6.25,6.78,0.275,7.3,0.3,5.42,0.185,7.2,0.25,8.36,0.155,9.02,0.25,8.98,0.155,8.19,0.195
8.97,0.315,7.93,0.47,302.6,5.55,6.83,0.46,7.4,0.2,5.43,0.435,7.2,0.25,8.36,0.295,9.04,0.28,9.21,0.17,8.3,0.275
9.0,0.495,7.94,0.375,302.6,6.0,6.84,0.39,7.4,0.45,5.5,0.3,7.2,0.4,8.38,0.305,9.23,0.33,9.23,0.285,8.31,0.345
9.04,0.32,7.97,0.265,302.6,6.8,6.86,0.31,7.4,0.2,5.54,0.35,7.2,0.15,8.38,0.48,9.25,0.325,9.28,0.21,8.33,0.26
9.08,0.195,7.98,0.245,302.7,6.3,6.87,0.23,7.5,0.15,5.57,0.225,7.2,0.2,8.42,0.255,9.32,0.325,9.34,0.455,8.33,0.275
9.08,0.495,7.99,0.39,302.7,5.1,6.89,0.355,7.6,0.25,5.58,0.205,7.2,0.3,8.42,0.105,9.34,0.31,9.34,0.195,8.49,0.32
9.12,0.45,8.01,0.285,302.9,4.75,6.92,0.3,7.6,0.35,5.63,0.25,7.3,0.15,8.43,0.245,9.39,0.345,9.36,0.29,8.53,0.325
9.41,0.265,8.03,0.35,303.0,4.15,6.94,0.355,7.6,0.4,5.74,0.235,7.3,0.4,8.5,0.19,9.44,0.51,9.4,0.37,8.53,0.25
9.55,0.415,8.03,0.31,303.0,6.1,6.98,0.435,7.7,0.3,5.92,0.28,7.3,0.3,8.5,0.175,9.44,0.415,9.46,0.395,8.54,0.215
9.62,0.32,8.04,0.245,303.1,4.05,6.98,0.23,7.7,0.35,5.94,0.185,7.3,0.4,8.53,0.2,9.48,0.225,9.46,0.225,8.56,0.225
9.72,0.27,8.06,0.38,303.2,8.0,7.03,0.225,7.7,0.25,6.12,0.225,7.3,0.25,8.54,0.22,9.49,0.215,9.47,0.39,8.56,0.235
9.73,0.28,8.07,0.36,303.3,5.1,7.06,0.28,7.8,0.65,6.19,0.425,7.3,0.25,8.59,0.245,9.5,0.185,9.59,0.205,8.58,0.265
9.83,0.415,8.07,0.475,303.3,6.4,7.06,0.23,7.8,0.2,6.37,0.935,7.3,0.4,8.6,0.32,9.56,0.16,9.59,0.385,8.59,0.19
9.83,0.415,8.08,0.465,303.3,4.95,7.12,0.445,7.9,0.65,6.43,0.29,7.4,0.3,8.61,0.14,9.58,0.185,9.62,0.445,8.62,0.32
9.83,0.245,8.13,0.42,303.4,6.45,7.13,0.585,8.0,0.4,6.45,0.31,7.4,0.2,8.63,0.2,9.59,0.245,9.64,0.155,8.67,0.185
9.89,0.27,8.13,0.16,303.4,5.8,7.15,0.245,8.0,0.3,6.49,0.205,7.4,0.35,8.63,0.12,9.65,0.25,9.64,0.19,8.72,0.4
9.94,0.505,8.14,0.405,303.5,4.15,7.15,0.635,8.1,0.3,7.0,0.195,7.4,0.3,8.64,0.13,9.66,0.305,9.65,0.46,8.73,0.245
10.1,0.35,8.17,0.28,303.5,3.4,7.16,0.28,8.3,0.4,7.03,0.3,7.4,0.3,8.66,0.385,9.67,0.31,9.68,0.33,8.91,0.225
10.1,0.3,8.18,0.33,303.5,5.15,7.2,0.335,8.6,0.45,7.06,0.315,7.4,0.25,8.72,0.23,9.67,0.24,9.69,0.255,8.92,0.3
10.5,0.4,8.21,0.24,303.7,5.2,7.24,0.21,8.6,0.65,7.08,0.17,7.4,0.25,8.74,0.285,9.7,0.405,9.7,0.435,8.93,0.41
10.5,0.5,8.23,0.24,303.9,4.9,7.26,0.345,8.6,0.55,7.14,0.275,7.4,0.25,8.76,0.27,9.71,0.27,9.73,0.395,8.97,0.355
10.5,0.6,8.32,0.455,304.0,4.3,7.27,0.35,8.7,0.35,7.16,0.485,7.4,0.35,8.84,0.275,9.71,0.34,9.76,0.305,8.99,0.245
10.7,0.55,8.35,0.465,304.2,7.2,7.32,0.405,8.8,0.5,7.18,0.25,7.4,0.15,8.9,0.41,9.72,0.275,9.76,0.355,9.06,0.18
10.7,0.35,8.37,0.325,304.4,4.85,7.32,0.34,9.0,0.5,7.21,0.225,7.4,0.35,9.04,0.31,9.72,0.365,9.77,0.165,9.09,0.45
11.3,0.35,8.42,0.425,304.5,6.55,7.33,0.205,9.0,0.4,7.24,0.465,7.5,0.35,9.2,0.275,9.74,0.405,9.77,0.265,9.12,0.285
17.2,0.45,8.47,0.345,304.6,4.95,7.34,0.35,9.0,0.45,7.3,0.18,7.5,0.25,9.25,0.305,9.74,0.35,9.77,0.365,9.19,0.265
17.6,0.35,8.48,0.225,304.7,5.1,7.36,0.395,9.0,0.25,7.31,0.23,7.5,0.25,9.26,0.18,9.74,0.405,9.78,0.3,9.21,0.26
17.8,0.5,8.49,0.505,304.8,7.5,7.37,0.355,9.1,0.6,7.32,0.325,7.5,0.2,9.29,0.41,9.78,0.315,9.96,0.385,9.26,0.305
