CT-1,,CT-2,,CT-3,,CT-4,,CT-5,,CT-6,,CT-7,,CT-8.2,,CT-9,,CT-10,,CT-11,
18.1,0.35,8.5,0.235,304.8,5.5,7.4,0.425,9.2,0.5,7.35,0.175,7.5,0.35,9.3,0.19,9.78,0.42,10.2,0.45,9.32,0.25
18.2,0.3,8.51,0.32,304.9,6.85,7.44,0.22,9.2,0.25,7.4,0.24,7.5,0.25,9.38,0.27,9.81,0.405,10.2,0.2,9.33,0.335
18.2,0.75,8.55,0.26,304.9,4.95,7.46,0.41,9.3,0.35,7.43,0.19,7.5,0.45,9.45,0.435,9.81,0.26,10.3,0.25,9.34,0.39
18.2,0.55,8.58,0.35,305.0,7.0,7.47,0.215,9.3,0.45,7.44,0.485,7.5,0.4,9.5,0.145,9.89,0.305,10.3,0.3,9.36,0.45
18.2,0.35,8.6,0.465,305.1,8.75,7.51,0.4,9.3,0.35,7.45,0.38,7.5,0.25,9.54,0.24,9.9,0.35,10.4,0.3,9.37,0.195
18.2,0.5,8.61,0.32,305.5,6.55,7.64,0.185,9.3,0.2,7.5,0.44,7.5,0.3,9.56,0.415,9.92,0.28,10.5,0.4,9.38,0.37
18.3,0.75,8.63,0.36,305.6,4.75,7.66,0.235,9.3,0.3,7.51,0.375,7.5,0.35,9.6,0.295,9.93,0.245,10.5,0.45,9.41,0.245
18.3,0.65,8.67,0.405,305.6,8.15,7.72,0.285,9.4,0.6,7.51,0.355,7.5,0.3,9.61,0.28,10.0,0.45,10.5,0.3,9.44,0.235
18.4,0.35,8.73,0.33,305.6,4.7,7.75,0.21,9.4,0.3,7.54,0.17,7.6,0.25,9.65,0.31,10.0,0.4,11.1,0.25,9.45,0.325
18.7,0.5,8.84,0.455,305.8,7.75,7.77,0.46,9.4,0.55,7.55,0.17,7.6,0.35,9.65,0.38,10.1,0.25,11.4,0.25,9.47,0.26
18.8,0.35,8.87,0.225,305.9,7.75,7.79,1.36,9.4,0.45,7.55,0.305,7.6,0.4,9.66,0.23,10.2,0.3,12.2,0.25,9.47,0.39
18.8,0.4,8.9,0.37,306.1,4.2,7.8,0.145,9.4,0.5,7.56,0.17,7.7,0.35,9.67,0.35,10.3,0.45,12.8,0.3,9.48,0.415
18.9,0.65,9.01,0.475,306.2,6.0,7.83,0.31,9.4,0.3,7.56,0.44,7.7,0.3,9.71,0.275,10.3,0.4,12.9,0.25,9.51,0.285
19.1,0.35,9.1,0.37,306.2,5.55,7.84,0.32,9.6,0.25,7.58,0.17,7.7,0.4,9.73,0.2,10.3,0.3,13.0,0.45,9.51,0.565
19.3,0.45,9.12,0.39,306.2,7.15,7.85,0.21,9.6,0.4,7.58,0.205,7.7,0.4,9.73,0.4,10.4,0.5,13.1,0.3,9.53,0.255
19.3,0.45,9.16,0.535,306.4,6.3,7.88,0.35,9.6,0.7,7.64,0.16,7.7,0.45,9.74,0.2,11.2,0.35,13.3,0.75,9.54,0.19
20.0,0.65,9.18,0.495,306.4,4.45,7.93,0.305,9.6,0.6,7.65,0.3,7.8,0.3,9.75,0.255,12.0,0.2,13.5,0.25,9.54,0.135
20.0,0.5,9.22,0.395,306.5,5.6,7.95,0.365,9.6,0.5,7.69,0.25,7.8,0.35,9.82,0.42,12.0,0.15,13.6,0.4,9.59,0.285
20.4,1.05,9.26,0.35,306.5,5.8,7.97,0.35,9.7,0.35,7.74,0.27,7.8,0.15,9.82,0.325,12.2,0.2,13.6,0.25,9.6,0.315
20.7,1.1,9.27,0.34,306.6,5.3,7.97,0.3,9.7,0.5,7.79,0.3,7.8,0.4,9.86,0.245,13.4,0.25,13.7,0.35,9.6,0.235
39.3,1.25,9.28,0.44,306.6,5.65,7.98,0.47,9.7,0.65,7.81,0.16,7.9,0.45,9.86,0.165,13.5,0.65,13.7,0.3,9.72,0.375
70.8,1.5,9.43,0.25,307.0,6.75,8.0,0.25,9.8,0.55,7.84,0.345,7.9,0.35,9.87,0.53,13.7,0.55,13.7,0.6,9.74,0.545
146.7,3.0,9.5,0.51,307.0,5.2,8.0,0.31,9.8,0.4,7.87,0.435,7.9,0.4,9.93,0.175,13.8,0.25,13.9,0.7,9.74,0.31
147.3,5.35,9.55,0.375,307.1,6.4,8.01,0.395,9.8,0.4,7.88,0.165,8.0,0.2,10.0,0.25,13.9,0.3,14.0,0.4,9.94,0.155
148.6,3.05,9.72,0.395,307.1,5.2,8.02,0.21,9.9,0.45,7.89,0.24,8.0,0.4,10.3,0.25,14.1,0.2,14.2,0.4,9.99,0.28
150.0,3.15,9.74,0.265,307.1,5.25,8.03,0.36,9.9,0.2,7.91,0.42,8.1,0.35,10.4,0.4,14.2,0.35,14.2,0.4,10.0,0.45
1204.1,30.45,9.76,0.435,307.1,5.3,8.03,0.29,9.9,0.35,8.03,0.285,8.1,0.2,10.5,0.35,14.2,0.55,14.3,0.7,10.1,0.45
,,9.78,0.34,307.2,5.25,8.05,0.45,9.9,0.5,8.04,0.775,8.1,0.35,10.6,0.35,14.2,0.3,14.6,0.35,10.2,0.2
,,9.82,0.27,307.2,9.6,8.08,0.23,9.9,0.5,8.06,0.345,8.2,0.2,11.2,0.2,14.3,0.25,14.7,0.7,10.2,0.2
,,9.88,0.27,307.2,5.75,8.09,0.285,10.0,0.4,8.07,0.255,8.3,0.4,11.4,0.25,14.4,0.6,14.9,0.6,10.2,0.2
,,9.93,0.4,307.5,5.85,8.09,0.35,10.0,0.85,8.08,0.36,8.4,0.35,11.6,0.35,14.4,0.3,15.0,0.65,10.5,0.25
,,10.1,0.3,307.6,5.25,8.14,0.215,10.0,0.45,8.12,0.25,8.5,0.3,11.9,0.3,14.5,0.4,15.0,0.7,11.0,0.35
,,10.1,0.25,307.6,5.6,8.15,0.405,10.0,0.5,8.16,0.515,8.5,0.35,12.3,0.25,14.6,0.75,15.1,0.5,11.7,0.35
,,10.3,0.35,307.6,6.5,8.16,0.425,10.1,0.5,8.18,0.355,9.4,0.5,12.3,0.25,14.6,0.7,16.1,0.35,11.8,0.35
,,10.4,0.4,307.7,5.6,8.2,0.27,10.2,0.7,8.19,0.315,9.6,0.35,12.9,0.2,14.9,0.35,16.8,0.45,12.5,0.25
,,10.4,0.5,307.9,6.1,8.27,0.3,10.2,0.25,8.2,0.28,9.7,0.25,12.9,0.45,15.2,0.5,16.9,0.35,13.1,0.2
,,10.4,0.5,308.2,5.5,8.31,0.36,10.3,0.4,8.2,0.29,9.7,0.35,13.1,0.2,15.6,0.7,17.1,0.5,13.8,0.55
,,10.5,0.5,308.2,5.5,8.35,0.36,10.5,0.4,8.21,0.345,9.7,0.35,13.1,0.25,16.5,0.2,17.6,0.4,13.9,0.35
,,10.6,0.5,308.2,7.05,8.38,0.365,10.6,0.8,8.23,0.415,9.7,0.4,13.6,0.35,17.8,0.5,17.8,0.4,14.0,0.35
,,10.7,0.45,308.3,5.5,8.38,0.325,10.8,0.85,8.23,0.605,9.8,0.35,13.7,0.3,18.2,0.3,18.0,0.3,14.0,0.5
,,10.7,0.6,308.6,5.3,8.38,0.32,10.9,0.3,8.23,0.73,9.8,0.3,13.8,0.4,18.3,0.3,18.4,0.55,14.1,0.35
,,10.9,0.55,308.7,7.5,8.38,0.185,11.3,0.15,8.24,0.31,9.8,0.35,13.8,0.3,18.4,0.5,18.4,0.5,14.3,0.75
,,11.0,0.5,308.8,4.55,8.41,0.28,11.8,0.25,8.24,0.325,9.8,0.35,13.9,0.4,18.7,0.3,18.6,0.25,14.5,0.75
,,11.4,0.6,308.8,8.95,8.44,0.425,11.8,0.65,8.27,0.2,9.9,0.3,13.9,0.4,19.1,0.5,18.6,0.4,14.5,0.5
,,12.3,0.25,308.8,5.85,8.44,0.255,11.8,0.3,8.28,0.265,9.9,0.45,14.0,0.25,19.4,0.55,18.7,0.35,14.6,0.2
,,12.9,0.5,308.9,5.0,8.49,0.385,12.0,0.25,8.29,0.26,9.9,0.4,14.1,0.4,19.4,0.5,18.7,0.75,15.4,0.25
,,13.2,0.7,309.0,8.75,8.52,0.215,12.0,0.3,8.29,0.35,9.9,0.2,14.2,0.25,19.4,0.2,18.8,0.45,15.7,0.4
,,13.3,0.55,309.1,5.05,8.52,0.3,12.1,0.5,8.36,0.275,10.0,0.25,14.4,0.4,19.5,0.3,18.9,0.5,16.3,0.45
,,14.1,0.45,309.4,8.85,8.53,0.675,12.2,0.35,8.4,0.3,10.0,0.4,14.4,0.2,19.6,0.5,19.0,0.3,16.3,0.45
,,14.2,0.4,309.4,4.5,8.53,0.535,12.4,0.35,8.43,0.25,10.0,0.2,14.6,0.2,19.7,0.55,19.1,0.45,16.7,0.25
,,14.2,0.35,309.4,4.75,8.54,0.48,12.5,0.5,8.44,0.395,10.0,0.35,14.7,0.4,19.9,0.6,19.2,0.4,17.0,0.25
,,14.5,0.35,309.5,4.45,8.57,0.255,13.3,0.75,8.44,0.225,10.1,0.45,15.2,0.7,20.0,0.6,19.3,0.35,17.4,0.3
,,15.5,0.7,309.5,5.95,8.61,0.145,13.3,0.65,8.48,0.35,10.1,0.45,15.2,0.15,20.0,0.6,19.6,0.4,18.1,0.25
,,15.6,0.5,309.6,7.55,8.63,0.535,13.4,0.6,8.48,0.365,10.1,0.6,15.4,0.3,20.2,0.6,19.6,0.8,18.3,0.4
,,16.4,0.65,309.7,4.6,8.7,0.445,13.4,0.65,8.58,0.215,10.2,0.45,15.6,0.35,20.3,0.45,19.6,0.25,18.4,0.3
,,16.5,0.9,309.9,5.55,8.7,0.455,13.4,1.1,8.6,0.325,10.3,0.45,15.7,0.3,20.4,0.6,19.6,0.25,18.4,0.35
,,16.9,0.6,309.9,5.35,8.71,0.485,13.5,0.5,8.63,0.415,10.4,0.35,16.4,0.5,20.8,0.8,19.7,0.7,18.5,0.3
,,17.7,0.4,310.1,3.95,8.72,0.22,13.7,0.4,8.63,0.35,10.4,0.3,16.8,0.2,21.0,0.7,19.7,0.6,18.5,0.3
,,18.4,0.9,310.6,6.05,8.72,0.37,13.7,0.3,8.65,0.235,10.4,0.35,16.8,0.5,70.7,1.3,20.3,0.7,18.5,0.25
,,18.5,0.55,310.9,6.65,8.76,0.415,13.8,0.35,8.65,0.425,10.4,0.35,16.9,0.6,83.0,1.3,20.4,0.55,18.6,0.3
,,18.6,0.45,310.9,4.0,8.78,0.385,13.8,0.65,8.65,0.175,10.5,0.25,17.0,0.3,83.3,1.5,20.5,0.3,18.8,0.35
,,77.4,3.0,310.9,4.45,8.79,0.38,14.0,0.5,8.66,0.575,10.5,0.5,17.0,0.4,84.2,1.75,20.5,0.5,19.0,0.4
,,88.7,2.9,311.1,5.9,8.79,0.345,14.0,0.45,8.68,0.285,10.5,0.3,17.5,0.3,87.5,1.15,20.7,0.7,19.1,0.45
,,89.9,4.6,311.3,8.25,8.89,0.615,14.0,0.6,8.71,0.37,10.5,0.35,17.6,0.35,88.1,2.35,20.7,0.65,19.1,0.55
,,91.0,2.3,311.3,5.55,8.89,0.295,14.0,0.95,8.74,0.49,10.6,0.45,17.7,0.4,90.0,1.55,21.4,0.5,19.3,0.3
,,93.0,2.35,311.4,4.85,8.9,0.425,14.0,0.45,8.77,0.44,10.6,0.5,17.8,0.65,92.6,3.6,21.7,0.55,19.4,0.45
,,95.5,2.1,311.4,5.3,8.99,0.315,14.0,0.45,8.81,0.38,10.7,0.55,18.1,0.8,93.2,2.0,23.4,0.6,19.4,0.6
,,98.7,3.55,311.5,6.85,9.03,0.455,14.0,0.7,8.81,0.255,12.7,0.3,18.4,0.45,93.8,1.6,37.9,0.65,19.4,0.55
,,99.2,3.9,311.5,5.2,9.15,0.4,14.0,0.65,8.81,0.32,12.8,0.75,18.4,0.6,95.0,1.95,73.0,1.5,19.4,0.55
,,99.5,2.45,311.5,5.15,9.18,0.38,14.1,0.45,8.81,0.505,13.3,0.5,18.5,0.4,95.1,1.25,84.5,2.1,19.4,0.3
,,99.7,2.75,311.8,6.0,9.19,0.28,14.1,0.35,8.82,0.34,14.9,0.6,18.5,0.35,95.4,1.9,92.1,1.55,19.6,0.6
,,100.4,1.35,311.8,6.25,9.2,0.23,14.1,0.5,8.83,0.32,15.7,0.5,18.7,0.75,96.2,2.15,98.8,2.05,19.9,0.6
,,100.7,2.8,311.8,5.5,9.23,0.815,14.2,0.7,8.84,0.195,17.0,0.7,18.7,0.4,96.9,1.95,134.4,1.9,19.9,0.35
,,100.8,2.8,312.1,4.8,9.32,0.545,14.2,0.6,8.86,0.485,17.1,0.35,18.8,0.65,98.9,1.15,152.6,2.35,20.1,0.65
,,100.9,2.85,312.1,5.2,9.45,0.49,14.2,0.7,8.86,0.465,17.2,0.6,18.8,0.2,100.1,2.25,156.7,3.2,20.4,0.45
,,101.8,2.2,312.2,4.65,9.46,0.35,14.2,0.6,8.95,0.23,17.3,0.55,19.6,0.4,100.4,2.6,157.5,2.0,20.6,0.65
,,101.9,1.55,312.3,6.45,9.5,0.46,14.2,0.6,8.96,0.4,17.7,0.6,19.8,0.75,102.0,3.4,160.4,1.9,21.8,0.35
,,102.5,2.2,312.3,6.45,9.56,0.36,14.2,0.45,9.01,0.29,20.5,0.8,20.0,0.45,103.0,1.7,412.3,7.8,29.8,0.5
,,102.9,2.55,312.4,4.85,9.59,0.275,14.3,0.55,9.03,0.445,21.2,0.5,20.2,0.45,103.4,1.55,,,35.7,0.8
,,103.6,1.4,313.0,6.45,9.6,0.365,14.3,0.45,9.05,0.585,21.5,0.3,20.2,0.3,104.1,2.05,,,73.0,1.25
,,103.6,2.5,313.1,4.3,9.61,0.275,14.3,0.35,9.07,0.845,22.4,1.2,20.4,0.35,104.7,1.85,,,73.8,1.25
,,104.1,2.0,313.1,5.5,9.61,0.34,14.4,0.95,9.07,0.46,25.5,1.35,21.3,0.55,105.1,1.75,,,89.2,2.15
,,104.2,2.5,313.1,5.8,9.62,0.345,14.4,0.35,9.08,0.6,39.1,1.05,21.4,0.4,105.3,1.75,,,96.0,2.9
,,104.3,2.0,313.2,7.5,9.63,0.49,14.4,0.4,9.08,0.45,84.2,1.9,37.4,0.75,105.6,1.6,,,101.8,1.8
,,104.3,2.3,313.5,5.8,9.64,0.265,14.4,0.6,9.14,0.27,85.9,2.7,70.0,1.35,105.8,1.55,,,106.9,2.0
,,104.6,2.1,313.5,6.3,9.65,0.315,14.4,0.65,9.22,0.91,93.4,3.2,83.0,1.85,106.0,2.35,,,149.5,3.15
,,104.6,2.45,313.7,5.05,9.67,0.4,14.5,0.55,9.24,0.475,93.8,2.7,85.0,1.6,106.2,1.35,,,160.6,2.95
,,104.9,3.35,313.7,8.4,9.71,0.345,14.6,0.35,9.3,0.505,97.3,3.45,85.5,1.55,106.2,1.85,,,165.3,2.45
,,105.0,2.9,313.7,4.6,9.72,0.25,14.7,0.65,9.32,0.455,97.3,2.65,86.9,2.15,107.3,2.3,,,299.8,4.7
,,105.4,3.05,313.9,3.95,9.73,0.245,14.7,0.75,9.4,0.46,109.4,3.2,90.9,2.0,107.4,2.15,,,364.6,5.1
,,105.6,5.05,314.0,8.45,9.75,0.31,14.7,0.5,9.41,0.495,150.5,3.95,91.9,2.25,107.4,1.7,,,,
,,105.6,2.95,314.1,6.35,9.76,0.465,14.8,0.55,9.42,0.37,160.2,3.45,97.2,2.0,107.5,2.95,,,,
,,105.8,1.7,314.1,6.05,9.8,0.4,14.8,0.55,9.42,0.665,168.2,4.1,149.1,3.2,107.7,1.2,,,,
,,105.8,1.75,314.3,6.2,9.81,0.405,14.8,0.3,9.46,0.295,170.6,3.85,162.7,2.25,108.7,2.5,,,,
,,105.9,2.8,314.5,8.85,9.83,0.41,14.8,0.35,9.47,0.59,,,170.1,7.65,109.0,0.8,,,,
,,106.0,2.8,314.5,4.95,9.83,0.405,14.8,0.9,9.48,0.74,,,308.2,4.7,109.8,2.55,,,,
,,106.2,2.4,314.5,6.0,9.84,0.345,14.9,0.55,9.5,0.38,,,319.0,3.95,113.9,2.4,,,,
,,106.2,2.45,314.6,5.1,9.93,0.655,15.0,0.55,9.63,0.32,,,,,113.9,2.2,,,,
,,106.8,2.45,314.6,6.5,9.95,0.46,15.1,0.45,9.63,0.275,,,,,119.0,2.4,,,,
,,108.1,1.9,314.6,4.85,9.96,0.325,15.2,0.5,9.63,0.485,,,,,120.5,1.55,,,,
,,124.1,2.7,314.8,8.1,10.0,0.5,15.2,0.65,9.69,2.905,,,,,137.5,1.75,,,,
,,146.3,3.75,315.0,4.8,10.0,0.6,15.5,0.45,9.76,0.445,,,,,147.1,1.55,,,,
,,146.5,2.6,315.1,4.9,10.1,0.45,15.7,0.75,9.79,0.49,,,,,154.6,1.75,,,,
,,151.8,3.45,315.4,7.75,10.1,0.8,15.7,0.95,9.81,0.27,,,,,162.5,2.55,,,,
,,155.6,4.2,315.5,4.65,10.2,0.35,15.7,0.5,9.82,0.255,,,,,162.9,2.45,,,,
,,155.9,2.9,316.0,6.35,10.2,0.55,16.2,0.55,9.84,0.3,,,,,163.9,3.05,,,,
,,158.0,3.0,316.6,5.35,10.2,0.35,16.3,0.35,9.85,0.175,,,,,164.3,2.1,,,,
,,161.0,2.4,316.8,9.35,10.4,0.35,16.5,0.35,9.87,0.365,,,,,166.0,3.0,,,,
,,164.8,2.9,316.9,5.45,10.4,0.4,17.2,0.4,9.91,0.315,,,,,169.3,2.3,,,,
,,165.2,2.8,317.0,4.4,10.5,0.35,17.4,0.65,10.0,0.25,,,,,207.6,4.3,,,,
,,167.6,3.3,317.2,4.4,10.5,0.3,17.6,0.7,10.0,1.15,,,,,210.0,2.75,,,,
,,246.4,8.45,317.3,6.3,11.8,0.25,18.5,0.65,10.1,0.4,,,,,210.1,3.3,,,,
,,287.7,7.8,317.8,5.1,12.3,0.25,18.6,1.0,10.1,0.4,,,,,293.8,5.6,,,,
,,298.2,6.85,317.9,6.1,12.3,0.3,19.7,0.75,10.2,0.4,,,,,303.5,3.7,,,,
,,299.4,5.6,317.9,7.4,12.4,0.5,19.8,0.95,10.2,0.3,,,,,309.4,5.05,,,,
,,300.0,5.2,318.0,6.55,12.6,0.4,20.1,0.85,10.2,0.45,,,,,311.2,3.8,,,,
,,301.9,4.85,318.0,6.55,12.6,0.45,20.2,0.7,10.2,0.4,,,,,312.3,3.95,,,,
,,302.9,5.55,318.2,5.25,13.3,0.25,20.6,0.6,10.3,0.9,,,,,312.8,4.7,,,,
,,306.9,5.55,318.3,8.3,13.3,0.25,20.8,0.35,10.3,0.35,,,,,315.0,5.8,,,,
,,307.5,4.3,319.2,5.5,13.3,0.4,20.9,0.55,10.3,0.25,,,,,318.4,3.3,,,,
,,308.8,6.55,319.3,6.75,13.5,0.55,21.6,0.65,10.3,0.5,,,,,320.2,4.85,,,,
,,309.1,6.25,319.9,5.4,13.5,0.45,21.6,0.65,10.3,0.5,,,,,372.7,5.8,,,,
,,324.9,5.45,320.4,3.95,13.6,0.6,69.8,2.2,10.3,0.35,,,,,413.4,6.1,,,,
,,461.2,8.9,321.0,7.3,13.7,0.35,83.6,2.85,10.5,0.25,,,,,540.3,10.05,,,,
,,619.9,12.25,321.3,5.5,13.7,0.65,85.2,3.0,10.5,0.3,,,,,833.5,9.65,,,,
,,2012.8,33.6,321.4,6.8,13.8,0.8,85.4,2.2,10.5,0.45,,,,,,,,,,
,,,,321.8,5.5,13.8,0.5,85.4,2.45,10.6,0.4,,,,,,,,,,
,,,,322.2,6.45,13.8,0.9,86.5,4.95,10.7,0.45,,,,,,,,,,
,,,,322.9,6.0,14.2,0.4,89.0,2.95,10.9,0.7,,,,,,,,,,
,,,,323.0,7.0,14.2,0.55,144.6,2.15,10.9,0.5,,,,,,,,,,
,,,,324.8,6.0,14.2,0.6,145.8,3.1,11.0,0.4,,,,,,,,,,
,,,,325.4,6.7,14.3,0.55,146.7,3.15,11.0,0.15,,,,,,,,,,
,,,,326.8,4.6,14.3,0.3,153.1,4.4,11.2,0.7,,,,,,,,,,
,,,,332.5,6.4,14.4,0.25,161.2,4.1,11.5,0.3,,,,,,,,,,
,,,,333.2,5.75,14.4,0.45,,,11.7,0.55,,,,,,,,,,
,,,,334.1,5.85,14.5,0.4,,,11.9,0.7,,,,,,,,,,
,,,,334.7,5.25,14.6,0.45,,,12.0,1.25,,,,,,,,,,
,,,,360.5,3.95,14.7,0.8,,,12.5,0.65,,,,,,,,,,
,,,,365.2,6.85,15.0,0.6,,,12.5,1.25,,,,,,,,,,
,,,,446.0,8.4,15.5,1.1,,,12.7,0.45,,,,,,,,,,
,,,,460.8,7.0,16.3,0.65,,,13.3,0.25,,,,,,,,,,
,,,,1165.1,47.2,16.8,0.4,,,13.5,0.35,,,,,,,,,,
,,,,,,17.7,0.75,,,15.0,2.05,,,,,,,,,,
,,,,,,18.4,0.5,,,15.0,0.35,,,,,,,,,,
,,,,,,18.5,0.6,,,15.7,0.3,,,,,,,,,,
,,,,,,18.5,1.45,,,16.8,0.5,,,,,,,,,,
,,,,,,18.6,0.4,,,16.9,0.55,,,,,,,,,,
,,,,,,18.7,0.75,,,17.6,0.6,,,,,,,,,,
,,,,,,18.8,0.5,,,18.0,0.45,,,,,,,,,,
,,,,,,18.9,0.5,,,18.0,0.6,,,,,,,,,,
,,,,,,18.9,0.65,,,18.1,0.45,,,,,,,,,,
,,,,,,19.0,0.45,,,18.1,0.85,,,,,,,,,,
,,,,,,19.1,1.1,,,18.3,0.55,,,,,,,,,,
,,,,,,19.9,0.3,,,18.7,0.5,,,,,,,,,,
,,,,,,19.9,0.85,,,18.8,0.6,,,,,,,,,,
,,,,,,20.6,0.45,,,18.9,0.4,,,,,,,,,,
,,,,,,20.6,0.75,,,18.9,0.55,,,,,,,,,,
,,,,,,20.8,0.35,,,19.4,0.55,,,,,,,,,,
,,,,,,21.1,2.55,,,19.7,0.5,,,,,,,,,,
,,,,,,21.7,0.7,,,19.7,0.7,,,,,,,,,,
,,,,,,22.5,0.5,,,19.9,0.6,,,,,,,,,,
,,,,,,24.6,3.0,,,20.0,0.4,,,,,,,,,,
,,,,,,31.7,8.05,,,20.4,2.75,,,,,,,,,,
,,,,,,36.3,1.25,,,22.2,1.05,,,,,,,,,,
,,,,,,55.8,9.95,,,32.2,9.65,,,,,,,,,,
,,,,,,80.8,2.45,,,88.1,2.8,,,,,,,,,,
,,,,,,82.2,1.65,,,94.2,3.55,,,,,,,,,,
,,,,,,83.0,3.6,,,137.6,2.55,,,,,,,,,,
,,,,,,85.4,1.55,,,144.2,2.6,,,,,,,,,,
,,,,,,85.5,2.35,,,147.6,5.1,,,,,,,,,,
,,,,,,92.6,2.4,,,148.4,3.55,,,,,,,,,,
,,,,,,92.7,2.0,,,149.1,2.35,,,,,,,,,,
,,,,,,93.0,2.25,,,150.9,4.35,,,,,,,,,,
,,,,,,142.8,3.05,,,1036.8,28.3,,,,,,,,,,
,,,,,,146.1,3.15,,,,,,,,,,,,,,
,,,,,,146.8,3.3,,,,,,,,,,,,,,
,,,,,,148.5,3.35,,,,,,,,,,,,,,
,,,,,,149.0,2.95,,,,,,,,,,,,,,
,,,,,,149.5,2.65,,,,,,,,,,,,,,
,,,,,,150.7,3.2,,,,,,,,,,,,,,
,,,,,,152.8,2.75,,,,,,,,,,,,,,
,,,,,,153.3,3.65,,,,,,,,,,,,,,
,,,,,,162.9,4.3,,,,,,,,,,,,,,
