id,x,y
RP-S2,246249.2076,6240448.447
RP-S3,250212.9354,6237948.848
RP-S3u,250603.5211,6228481.157
RP-S4u,262281.9748,6217862.614
6,240424,6244101
7,239085,6243561
8,236433,6241171
9,234328,6238328
10,233535,6235567
11,224792,6219641
12,264468,6205316
13,267804,6225009
14,264768,6227608
15,261241,6230944
16,259484,6233572
17,253777,6236472
18,250409,6238086
19,248739,6239914
20,247017,6241293
21,239499,6252555
22,251995,6254903
23,256653,6278345
24,264249,6222325
25,261482,6226046